County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,"",""
Albany,731809,Store,JAC,SBINTZ SPENWOOD LLC,THE CHEESE TRAVELER,540,DELAWARE AVE  LEFT SIDE,\"\",\"\",ALBANY,NY,12209,42.638603,-73.788523
Albany,734738,Store,JAC,A PINCH OR A POUND LLC,A PINCH OR A POUND ALBA,1,CROSSGATES MALL RD,\"\",\"\",ALBANY,NY,12203,42.687038,-73.850605
Albany,734739,Store,JAC,A PINCH OR A POUND LLC,A PINCH OR A POUND COLO,131,COLONIE CENTER,\"\",\"\",ALBANY,NY,12205,42.708249,-73.816464
Albany,722282,Store,JAC,SINDONIS COUNTRY DELI LLC,SIDONIS COUNTRY DELI,1080,SETTLES HILL RD,\"\",\"\",ALTAMONT,NY,12009,42.748642,-74.045137
Albany,722162,Store,JAC,KUHAR FAMILY FARM LLC,KUHAR FAMILY FARM,26,CR 353,\"\",\"\",RENSSELAERVILLE,NY,12147,"",""
Albany,722121,Store,JAC,1095 LOUDON INC,BOGHT CORNERS MOBIL,1095,LOUDON ROAD,\"\",\"\",COHOES,NY,12047,42.783249,-73.744483
Albany,722024,Store,A,FORTEEN STAR ENTERPRISES INC,CENTRAL AVE PHARMACY,346,CENTRAL AVENUE,\"\",\"\",ALBANY,NY,12206,42.666051,-73.773972
Albany,732841,Store,JAC,GREEN ACRES OF NEW YORK LLC,GREEN ACRES OF NEW YORK,288,STATE ROUTE 143,\"\",\"\",WESTERLO,NY,12193,"",""
Albany,734516,Store,JAC,DAILY STOP MARKET INC,DAILY STOP MARKET,131,CENTRAL AVE,\"\",\"\",ALBANY,NY,12206,42.660412,-73.767535
Albany,734228,Store,JAC,7-ELEVEN INC,SUNOCO # 40429H,477,DELAWARE AVE,\"\",\"\",ALBANY,NY,12209,42.639931,-73.784962
Albany,723925,Store,JAC,LWIN FAMILY CO,HISSHO SUSHI@ST PETERS,11949,MANNING BLVD,\"\",\"\",ALBANY,NY,12208,"",""
Albany,720761,Store,JAC,SPEEDWAY LLC,SPEEDWAY #07892,951,LOUDON RD,\"\",\"\",LATHAM,NY,12110,42.765321,-73.754852
Albany,723912,Store,JAC,SC OF MID HUDSON NY INC,SMOKERS CHOICE,448,SAND CREEK RD,\"\",\"\",ALBANY,NY,12205,42.714458,-73.809966
Albany,723837,Store,JAC,HERNANDEZ HECTOR,OAXAQUENA TRIQUI,77,N LAKE AVE,\"\",\"\",ALBANY,NY,12206,42.663325,-73.771783
Albany,720915,Store,JAC,SHAMOUNIAN BERJOUHI,NORAS GROCERY,143,TROY SCHENECTADY RD,\"\",\"\",WATERVLIET,NY,12189,42.737338,-73.724922
Albany,720926,Store,JAC,CENTRAL TOWER GROCERY INC,CENTRAL TOWER GROCERY,438,CENTRAL AVENUE,\"\",\"\",ALBANY,NY,12206,42.668322,-73.776563
Albany,720955,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #06253,484,ALBANY SHAKER RD,\"\",\"\",ALBANY,NY,12211,42.706611,-73.777165
Albany,734990,Store,JAC,KARIM RETAIL INC,QUAIL STREET MARKET & D,167,QUAIL STREET,\"\",\"\",ALBANY,NY,12203,42.662893,-73.776162
Albany,723798,Store,JAC,K AND K ALBANY INC,K AND K ALBANY,607,BROADWAY,\"\",\"\",WATERVLIET,NY,12189,42.712511,-73.705255
Albany,723751,Store,JAC,CUMBERLAND FARMS INC,CUMBERLAND FARMS #1697,1632A,CENTRAL AVE,\"\",\"\",ALBANY,NY,12205,42.719926,-73.835528
Albany,721326,Store,JAC,NAPREDAK LLC,FOX CREEK MARKET,1634,HELDERBERG TRAIL,\"\",\"\",BERNE,NY,12023,42.625194,-74.133972
Albany,731247,Store,JAC,MOHAMED-ALI ANWAR,DANNA MARKET,112,QUAIL STREET,\"\",\"\",ALBANY,NY,12206,42.665928,-73.772687
Albany,731191,Store,JAC,ROUTE 20 BUTCHER AND DELI,ROUTE 20 BUTCHER AND DE,1800,WESTERN AVE,\"\",\"\",ALBANY,NY,12203,42.690106,-73.865908
Albany,723664,Store,A,AL ASHWAL ABDULMOLLA A,LEXINGTON DELI & GROCER,55,LEXINGTON AVE,\"\",\"\",ALBANY,NY,12206,42.66171,-73.765017
Albany,723531,Store,JAC,CENTRAL FOOD MART INC,CENTRAL FOOD MART,20,CENTRAL AVE,\"\",\"\",ALBANY,NY,12210,42.657551,-73.764242
Albany,723444,Store,JAC,CAPITAL CITY DELI & GROCERY INC,CAPITAL CITY DELI & GRO,26-30,N 3RD ST,\"\",\"\",ALBANY,NY,12204,42.674065,-73.738555
Albany,721147,Store,A,FAMILY DOLLAR OF NY INC,FAMILY DOLLAR STORE #23,28,BROADWAY,\"\",\"\",ALBANY,NY,12204,42.678399,-73.734185
Albany,721220,Store,JAC,FINNIGANS INC,R & S FINNIGANS,116,QUAIL ST,\"\",\"\",ALBANY,NY,12206,42.665232,-73.773667
Albany,721225,Store,A,FAMILY DOLLAR STORES OF NY INC,FAMILY DOLLAR #31571,418,SOUTH PEARL STREET,\"\",\"\",ALBANY,NY,12202,42.637266,-73.759808
Albany,731280,Store,JAC,MADISON GROCERY & DELI INC,MADISON GROCERY & DELI,130,MADISON AVE,\"\",\"\",ALBANY,NY,12202,42.646052,-73.755891
Albany,732888,Store,JAC,SWEET BACON THERAPY LLC,SWEET BACON THERAPY,113,EVERETT ROAD,\"\",\"\",ALBANY,NY,12205,42.693853,-73.773554
Albany,731349,Store,JAC,MADISON MART INC,MADISON MART,145,MADISON AVE,\"\",\"\",ALBANY,NY,12202,42.64629,-73.756657
Albany,734948,Store,JAC,SUSHI MARU EXPRESS INC,SUSHI MARU EXPRESS (FRE,664,NEW LOUDON RD,\"\",\"\",LATHAM,NY,12110,42.736131,-73.762267
Albany,723320,Store,A,PARK DOLLAR PLUS INC,PARK DOLLAR PLUS,351,ONTARIO ST,\"\",\"\",ALBANY,NY,12208,42.658167,-73.784623
Albany,734514,Store,JAC,ABOALLRGAL CORPORATION,ONTARIO SUPER MARKET,46,ONTARIO ST,\"\",\"\",ALBANY,NY,12206,42.670252,-73.771969
Albany,733149,Store,A,SPEEDWAY LLC,12110,719,NEW LOUDON RD,\"\",\"\",LATHAM,NY,12110,42.739618,-73.761949
Albany,727909,Store,JAC,RED-KAP SALES INC,1667 GENERAL STORE,1667,WESTERN AVENUE,\"\",\"\",ALBANY,NY,12203,42.686553,-73.854665
Albany,730304,Store,JAC,FREEMAN DOUGLAS,FREEMAN FISH MARKET,381,SARATOGA ST,\"\",\"\",COHOES,NY,12047,42.76352,-73.699799
Albany,727723,Store,JAC,ABDULMOLLA AL ASHWAL,LARK NEWS & GROCERY,252,LARK ST,\"\",\"\",ALBANY,NY,12210,42.654182,-73.765911
Albany,730318,Store,JAC,SUSHIC EAST LLC,SUSHIC EAST (SHOPRITE #,41,VISTA BLVD,\"\",\"\",SLINGERLANDS,NY,12159,42.641191,-73.863049
